,GameId
0,4034498992
1,4034456686
2,4034149083
3,4034141986
4,4034080811
5,4034015219
6,4033995037
7,4033906700
8,4033876894
9,4033802351
10,4033772413
11,4033724863
12,4033695068
13,4032434465
14,4032413626
15,4032355906
16,4032289073
17,4032301229
18,4032244601
19,4032188084
20,4031534942
21,4031505656
22,4031476948
23,4031450652
24,4031410621
25,4031344693
26,4031318053
27,4030218897
28,4030205936
29,4030147709
30,4030113162
31,4030082686
32,4030026881
33,4029973672
34,4029769503
35,4029447993
36,4029389465
37,4029326027
38,4028108523
39,4028078075
40,4023268766
41,4023201913
42,4023155940
43,4023138479
44,4023113237
45,4023068180
46,4023083166
47,4023038939
48,4023006116
49,4023022812
50,4022969254
51,4022985878
52,4022293470
53,4022247534
54,4022200199
55,4022163574
56,4022120118
57,4022103915
58,4022099347
59,4022095438
60,4022072267
61,4021639579
62,4020624642
63,4020569226
64,4020564121
65,4020529371
66,4020499807
67,4020495284
68,4020469527
69,4020448666
70,4020445569
71,4015157790
72,4015170495
73,4015058665
74,4015043973
75,4015028501
76,4014993427
77,4014988531
78,4014946009
79,4014952880
80,4014728675
81,4014692088
82,4014672305
83,4014626490
84,4014579367
85,4014089881
86,4014064389
87,4013999736
88,4014035574
89,4014011690
90,4012472631
91,4012398887
92,4009668550
93,4009640605
94,4009621813
95,4009539090
96,4009529782
97,4009484633
98,4009466033
99,4009428424
100,4034498992
101,4033187287
102,4033136177
103,4033124538
104,4033191029
105,4032939506
106,4032926139
107,4032856558
108,4032759081
109,4032700021
110,4032681306
111,4032631999
112,4032584559
113,4032554046
114,4032493084
115,4032443337
116,4032387176
117,4029702474
118,4029592589
119,4029532759
120,4029447993
121,4029389465
122,4028350367
123,4028374830
124,4028326813
125,4028302381
126,4028274647
127,4028218349
128,4028150223
129,4028150710
130,4028122867
131,4028063972
132,4027577387
133,4027574691
134,4027581541
135,4027518214
136,4027514401
137,4027470184
138,4027472789
139,4027438632
140,4027392383
141,4027350797
142,4027059254
143,4026906572
144,4026817698
145,4026126468
146,4026119524
147,4026102070
148,4026057319
149,4026021820
150,4025969226
151,4025921507
152,4025891193
153,4025845546
154,4025820591
155,4025810511
156,4025743188
157,4025697007
158,4025668801
159,4025645258
160,4025605524
161,4025536713
162,4025499532
163,4025110723
164,4025034796
165,4024989240
166,4025013124
167,4024946861
168,4024906385
169,4024867675
170,4024833438
171,4024776585
172,4024765570
173,4024478291
174,4024326992
175,4024240108
176,4024232619
177,4024167162
178,4023482745
179,4023435283
180,4023369643
181,4023329360
182,4023332603
183,4023256219
184,4023229554
185,4023223720
186,4023177098
187,4023138963
188,4023103691
189,4023097270
190,4023090828
191,4023016477
192,4023013469
193,4022970291
194,4022957866
195,4022955255
196,4022982349
197,4022949258
198,4022948015
199,4022917980
200,4034499567
201,4034485388
202,4034440078
203,4034437405
204,4034407394
205,4034211611
206,4034166158
207,4034139169
208,4034141736
209,4034085466
210,4033975951
211,4033780925
212,4033704814
213,4033703061
214,4033696653
215,4033618692
216,4033588225
217,4033518398
218,4033503956
219,4033423481
220,4033388749
221,4033375698
222,4032708201
223,4032679483
224,4032566588
225,4032509726
226,4032381530
227,4032344671
228,4032307070
229,4032278920
230,4032229558
231,4032217954
232,4032211489
233,4032079611
234,4031651342
235,4031593207
236,4031575184
237,4031489095
238,4031438621
239,4031389386
240,4031410621
241,4031316835
242,4031249633
243,4031264132
244,4031182184
245,4031158024
246,4030437167
247,4030399613
248,4030258241
249,4030250898
250,4030158979
251,4030071892
252,4030014540
253,4029997414
254,4029963344
255,4029928234
256,4029877541
257,4029873319
258,4029819148
259,4029815093
260,4029811677
261,4029785822
262,4029706042
263,4029575314
264,4029542819
265,4029507974
266,4029426752
267,4029307883
268,4029257192
269,4029179986
270,4029183156
271,4029138030
272,4029141781
273,4029105022
274,4028973458
275,4028930423
276,4028956266
277,4028610347
278,4028380992
279,4028278748
280,4028244407
281,4028194955
282,4028174274
283,4028039063
284,4027984984
285,4027951732
286,4027925807
287,4027849406
288,4027852174
289,4027796087
290,4027759413
291,4027709498
292,4027716343
293,4027669229
294,4027675913
295,4027646875
296,4027672811
297,4027393052
298,4026493145
299,4026458852
300,4034498992
301,4034485388
302,4034490838
303,4034156194
304,4034103348
305,4034086122
306,4034025805
307,4033958989
308,4033847768
309,4033801615
310,4033781569
311,4033691231
312,4033604569
313,4033584068
314,4033517017
315,4032654022
316,4032641594
317,4032480662
318,4032302985
319,4032255982
320,4032221346
321,4032167202
322,4032130281
323,4032115785
324,4031845402
325,4031827569
326,4031729987
327,4031156149
328,4031171568
329,4031118485
330,4030393693
331,4030316735
332,4030305206
333,4029976577
334,4029980602
335,4029922912
336,4029907536
337,4029892398
338,4029819148
339,4029635243
340,4029573833
341,4029555062
342,4029467511
343,4029435361
344,4029406101
345,4029328660
346,4029086927
347,4029041836
348,4028987510
349,4028984456
350,4028947579
351,4028925454
352,4028953023
353,4028610347
354,4028265449
355,4028153319
356,4028132387
357,4028023615
358,4027945865
359,4027908539
360,4027921956
361,4027848418
362,4027837673
363,4027810861
364,4027754637
365,4027696687
366,4027670069
367,4027676790
368,4027438971
369,4027411782
370,4027103523
371,4026892927
372,4026773690
373,4026712232
374,4026523594
375,4026469423
376,4026410442
377,4026347370
378,4026352160
379,4026014822
380,4025924436
381,4025912617
382,4025865398
383,4025777989
384,4025614167
385,4025571086
386,4025542452
387,4025505689
388,4025457271
389,4025303557
390,4025249036
391,4025232384
392,4024839124
393,4024854793
394,4024818425
395,4024792707
396,4024726387
397,4024472355
398,4024174833
399,4024147712
400,4032209315
401,4032182407
402,4032155599
403,4032120245
404,4032087026
405,4031814319
406,4031821658
407,4031753155
408,4029375408
409,4029355410
410,4029306301
411,4029223322
412,4029071655
413,4029045394
414,4028989376
415,4028994627
416,4028980966
417,4028410351
418,4028417625
419,4028405799
420,4028392534
421,4028357381
422,4028351253
423,4028312246
424,4028283939
425,4028236188
426,4028177392
427,4028129838
428,4028091262
429,4028061842
430,4027412140
431,4027343847
432,4027243168
433,4026162366
434,4026086288
435,4026045429
436,4025987826
437,4025889015
438,4025858293
439,4025798264
440,4025773186
441,4025592590
442,4025562405
443,4025079148
444,4025105078
445,4025040098
446,4025045367
447,4025010395
448,4025014299
449,4024888476
